status,page,target_thumb,ref_thumb,target,ref_path,method,orb_matches
CONFIRMED,1,thumbs/pdf/targets/page_0001.jpg,thumbs/pdf/refs/page_0001.jpg,5685 FSL3 Getting Started Guide - Abbott - Easy Read v1 PHOTOSYMBOLS CHECK.pdf#page=1,/Users/presleydobson/Easy-Read-Online Dropbox/Presley Dobson/Photos png/universal_credit-x900_1.png,tiles,48
CONFIRMED,2,thumbs/pdf/targets/page_0002.jpg,thumbs/pdf/refs/page_0002.jpg,5685 FSL3 Getting Started Guide - Abbott - Easy Read v1 PHOTOSYMBOLS CHECK.pdf#page=2,/Users/presleydobson/Easy-Read-Online Dropbox/Presley Dobson/Photos png/Snow.png,tiles,306
CONFIRMED,3,thumbs/pdf/targets/page_0003.jpg,thumbs/pdf/refs/page_0003.jpg,5685 FSL3 Getting Started Guide - Abbott - Easy Read v1 PHOTOSYMBOLS CHECK.pdf#page=3,/Users/presleydobson/Easy-Read-Online Dropbox/Presley Dobson/Photos png/Snow.png,tiles,260
CONFIRMED,4,thumbs/pdf/targets/page_0004.jpg,thumbs/pdf/refs/page_0004.jpg,5685 FSL3 Getting Started Guide - Abbott - Easy Read v1 PHOTOSYMBOLS CHECK.pdf#page=4,/Users/presleydobson/Easy-Read-Online Dropbox/Presley Dobson/Photos png/Shop Food 2.png,tiles,76
CONFIRMED,5,thumbs/pdf/targets/page_0005.jpg,thumbs/pdf/refs/page_0005.jpg,5685 FSL3 Getting Started Guide - Abbott - Easy Read v1 PHOTOSYMBOLS CHECK.pdf#page=5,/Users/presleydobson/Easy-Read-Online Dropbox/Presley Dobson/Photos png/TV Screen 2.png,tiles,119
CONFIRMED,6,thumbs/pdf/targets/page_0006.jpg,thumbs/pdf/refs/page_0006.jpg,5685 FSL3 Getting Started Guide - Abbott - Easy Read v1 PHOTOSYMBOLS CHECK.pdf#page=6,/Users/presleydobson/Easy-Read-Online Dropbox/Presley Dobson/Photos png/Snow.png,tiles,90
CONFIRMED,7,thumbs/pdf/targets/page_0007.jpg,thumbs/pdf/refs/page_0007.jpg,5685 FSL3 Getting Started Guide - Abbott - Easy Read v1 PHOTOSYMBOLS CHECK.pdf#page=7,/Users/presleydobson/Easy-Read-Online Dropbox/Presley Dobson/Photos png/Snow.png,tiles,286
REVIEW,8,thumbs/pdf/targets/page_0008.jpg,thumbs/pdf/refs/page_0008.jpg,5685 FSL3 Getting Started Guide - Abbott - Easy Read v1 PHOTOSYMBOLS CHECK.pdf#page=8,/Users/presleydobson/Easy-Read-Online Dropbox/Presley Dobson/Photos png/Postcode-Letter.png,tiles,26
CONFIRMED,9,thumbs/pdf/targets/page_0009.jpg,thumbs/pdf/refs/page_0009.jpg,5685 FSL3 Getting Started Guide - Abbott - Easy Read v1 PHOTOSYMBOLS CHECK.pdf#page=9,/Users/presleydobson/Easy-Read-Online Dropbox/Presley Dobson/Photos png/Snow.png,tiles,46
CONFIRMED,10,thumbs/pdf/targets/page_0010.jpg,thumbs/pdf/refs/page_0010.jpg,5685 FSL3 Getting Started Guide - Abbott - Easy Read v1 PHOTOSYMBOLS CHECK.pdf#page=10,/Users/presleydobson/Easy-Read-Online Dropbox/Presley Dobson/Photos png/TV Screen 2.png,tiles,131
